id,artist,seize_profile
1,"6529er","6529er"
2,"6529er","6529er"
3,"6529er","6529er"
4,"6529er","6529er"
5,"OSF","osf"
6,"ACK","ack"
7,"Reuben Wu","reuben"
8,"Punk 6529","punk6529"
9,"6529er","6529er"
10,"Ayla El-Moussa","Ayla"
11,"Cyber Humanoid","Cyber_Humanoid"
12,"Rakesh Pulapa","rakesh"
13,"Priyanka","priyanka"
14,"Haru Komoda","HaruKomoda"
15,"ALIENQUEEN","alienqueen"
16,"Tony Sellen","TonySellen"
17,"Apocalypse Art","apocalypse"
18,"Deconstruct","Deconstruct"
19,"Simone Monte / 6529er","simonemonte,6529er"
20,"Helena Sarin","helena_sarin"
21,"Scobel","scobel"
22,"Seerlight","seerlight"
23,"NeonGlitch86","NeonGlitch86"
24,"Punk 6529","punk6529"
25,"6529er","6529er"
26,"Ty Lekki","TyLekki"
27,"Vivienne Tam","vivienne_tam"
28,"JakNFT","jak"
29,"6529er and 6529","6529er,punk6529"
30,"Hugo Faz","hugofaz"
31,"Kaejunni","Kaejunni"
32,"Natalie Shau","NatalieShau"
33,"6529er","6529er"
34,"Jord Hammond","jordhammond"
35,"NeonGlitch86 and 6529er","NeonGlitch86,6529er"
36,"WetPotatoBrain","doc"
37,"Arsonic","arsonic"
38,"Alejandro Cartagena and Adrian de la Garza","alejandro,adrian"
39,"Kristy Glas","kristy_glas"
40,"Dolce Paganne","dolce_paganne"
41,"Daria Klepikova","klepikovadaria"
42,"6529er and 6529","6529er,punk6529"
43,"ROBNESS + PEEPS","ROBNESS,PEEPS"
44,"Drift","drift"
45,"Tommy Wilson","tomwilson"
46,"Rik Oostenbroek","RikOostenbroek"
47,"XCOPY","xcopy"
48,"Cath Simard","cathsimard"
49,"k-art","kartjust"
50,"Artur Falcão","arturfalcao"
51,"Xose Casal","longexposure"
52,"Grant Riven Yun","grant_riven"
53,"cyberh49","cyberh49"
54,"Mindzeye","Mindzeye"
55,"Oveck","Oveck"
56,"Ben Strauss","Strauss"
57,"6529er","6529er"
58,"DirtyRobot","DirtyRobot"
59,"Tyronejkd","Tyronejkd"
60,"Zuphioh","zuphioh"
61,"tjo","tjo"
62,"Marco Mori","marcomori"
63,"Dangiuz","dangiuz"
64,"Killian Moore","Killian"
65,"FVCKRENDER","fvckrender"
66,"DarkMarkArt","darkmarkart"
67,"VincentVanDough","vincentvandough"
68,"Brendan North","brendan_north"
69,"6529er","6529er"
70,"neurocolor","neurocolor"
71,"Hackatao","Hackatao"
72,"Shavonne Wong","shavonnewong"
73,"Neil Burnell","Neil_Burnell"
74,"Che-Yu Wu","cheyuwu"
75,"TOKYOLUV","TOKYOLUV"
76,"Eric Rubens","eric_rubens"
77,"Muhju","muhju"
78,"Leafswan","Leafswan"
79,"Guido","Guidodisalle"
80,"Arno Kiss","arno_kiss"
81,"CA CHOU","ca_chou"
82,"BertOne","BertOne"
83,"Luna Leonis","luna_leonis"
84,"Michael Hafftka","hafftka"
85,"6529er","6529er"
86,"Pop Wonder","PopWonder"
87,"Deekay","deekaymotion"
88,"Ryan Koopmans","ryankoopmans"
89,"Made by Megan","MadebyMegan"
90,"Meg Thorpe","meg_thorpe"
91,"Fidel Amos","fideleverywhere"
92,"Angela Nikolau","angela_nikolau"
93,"mbsjq","mbsjq"
94,"Jeff Soto","jeff_soto"
95,"Andreas Preis","andreas_preis"
96,"Billy Dinh","billydinh"
97,"Matt Doogue","mattd"
98,"Alfie","Alfie"
99,"Michael Hirshon","hirshon"
100,"NFT Lady 007, 6529er, 6529","nft_lady_007,6529er,punk6529"
101,"Lord Jamie V. Shill","lordjamie"
102,"GxngYxng","gxngyxng"
103,"Jack Butcher","jack_butcher"
104,"Timpers","timpers"
105,"Jose Ramos","JoseRamos"
106,"ICKI / NoCreative","icki,nocreative"
107,"yungwknd","yungwknd"
108,"Donglu","donglu"
109,"6529er","6529er"
110,"YuYu","YuYu"
111,"Yakob El-Moussa","yakob"
112,"Nikolina Petolas","nikolinapetolas"
113,"Laura El","laura_el"
114,"Camibus","Camibus"
115,"Giovanni Motta","giovannimotta"
116,"SADBOI","Sadboi"
117,"Cardelucci","cardelucci"
118,"Botto","botto"
119,"Jarvinart","Jarvinart"
120,"6529er","6529er"
121,"Eric Paré","ericpare"
122,"Dre Dogue","dredogue"
123,"samj","samj"
124,"Afonso Caravaggio","afonso"
125,"Ryan Anderson","ItsRyanAnderson"
126,"Marcel Deneuve","marceldeneuve"
127,"DominikG","DominikG"
128,"Fabiano Speziari","fabianospeziari"
129,"threepanelcrimes","3panelcrimes"
130,"Kelly","kelly"
131,"David Fairs","NewLightVisuals"
132,"Hugo Korhonen","hugokorhonen"
133,"mpkoz","mpkoz"
134,"MiraRuido","miraruido"
135,"Rust","rust"
136,"POST WOOK","postwook"
137,"Jan Sladecko","jan_sladecko"
138,"Eleni is Bored Again","isboredagain"
139,"syncreation","syncreation"
140,"Diogo Sampaio","Diogo_Sampaio"
141,"Bastien","Bastien"
142,"Leyla Emektar","leylaemektar2"
143,"Hannes Hummel","hanneshummel"
144,"Filip Hodas","FilipHodas"
145,"teexels","teexels"
146,"vertigo","vertigo"
147,"Rupture","rupture"
148,"Superelmer","Superelmer"
149,"Roger Skaer","FAFORogerSkaer"
150,"Efdot","efdot"
151,"Killer Acid","killer_acid"
152,"Miss AL Simpson","miss_al"
153,"pho","pho"
